CET,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,date,city,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-7-11,80,71,62,61,59,55,88,66,47,30.15,30.12,30.09,6,6,4,12,5,NA,0,1,,255,7,11,1996,07-11,4,27,1996-07-11,Barcelona,26.6666666666667,21.6666666666667,16.6666666666667,16.1111111111111,15,12.7777777777778
1996-7-12,80,74,68,66,61,57,78,62,51,30.12,30.1,30.06,6,6,6,16,9,NA,0,2,,243,7,12,1996,07-12,5,27,1996-07-12,Barcelona,26.6666666666667,23.3333333333333,20,18.8888888888889,16.1111111111111,13.8888888888889
1996-7-13,80,72,64,70,62,57,83,71,47,30.21,30.15,30.12,6,6,6,12,5,NA,0,4,,306,7,13,1996,07-13,6,27,1996-07-13,Barcelona,26.6666666666667,22.2222222222222,17.7777777777778,21.1111111111111,16.6666666666667,13.8888888888889
1996-7-14,77,72,66,68,64,61,94,79,69,30.27,30.22,30.18,6,5,3,16,10,NA,0,3,,62,7,14,1996,07-14,7,28,1996-07-14,Barcelona,25,22.2222222222222,18.8888888888889,20,17.7777777777778,16.1111111111111
1996-7-15,84,75,66,64,58,54,88,57,37,30.21,30.15,30.09,6,6,6,12,7,NA,0,1,,267,7,15,1996,07-15,1,28,1996-07-15,Barcelona,28.8888888888889,23.8888888888889,18.8888888888889,17.7777777777778,14.4444444444445,12.2222222222222
1996-7-16,84,76,69,70,65,61,88,66,48,30.12,30.08,30.04,6,6,5,14,6,NA,0,2,,227,7,16,1996,07-16,2,28,1996-07-16,Barcelona,28.8888888888889,24.4444444444445,20.5555555555555,21.1111111111111,18.3333333333333,16.1111111111111
1996-7-17,86,77,68,73,65,57,88,67,40,30.06,30.03,29.98,6,6,5,15,6,NA,0,3,,247,7,17,1996,07-17,3,28,1996-07-17,Barcelona,30,25,20,22.7777777777778,18.3333333333333,13.8888888888889
1996-7-18,84,75,66,72,67,59,94,72,51,30.06,30.04,30.01,6,5,3,12,5,NA,0,2,,207,7,18,1996,07-18,4,28,1996-07-18,Barcelona,28.8888888888889,23.8888888888889,18.8888888888889,22.2222222222222,19.4444444444445,15
1996-7-19,82,75,68,73,69,61,94,78,65,30.09,30.06,30.04,6,5,4,9,4,NA,0,2,,171,7,19,1996,07-19,5,28,1996-07-19,Barcelona,27.7777777777778,23.8888888888889,20,22.7777777777778,20.5555555555555,16.1111111111111
1996-7-20,84,76,69,72,63,55,94,65,40,30.09,30.07,30.04,6,6,4,14,5,NA,0,1,,5,7,20,1996,07-20,6,28,1996-07-20,Barcelona,28.8888888888889,24.4444444444445,20.5555555555555,22.2222222222222,17.2222222222222,12.7777777777778
1996-7-21,82,76,69,70,63,52,83,64,37,30.12,30.1,30.09,NA,NA,NA,14,6,NA,0,NA,,82,7,21,1996,07-21,7,29,1996-07-21,Barcelona,27.7777777777778,24.4444444444445,20.5555555555555,21.1111111111111,17.2222222222222,11.1111111111111
1996-7-22,82,75,68,72,68,61,94,78,57,30.12,30.11,30.09,6,5,4,12,5,NA,0,1,,162,7,22,1996,07-22,1,29,1996-07-22,Barcelona,27.7777777777778,23.8888888888889,20,22.2222222222222,20,16.1111111111111
1996-7-23,84,76,69,72,69,63,94,77,62,30.12,30.09,30.06,6,5,3,12,5,NA,0,1,,239,7,23,1996,07-23,2,29,1996-07-23,Barcelona,28.8888888888889,24.4444444444445,20.5555555555555,22.2222222222222,20.5555555555555,17.2222222222222
1996-7-24,91,80,68,75,63,52,89,58,31,30.09,30.01,29.95,6,6,5,18,8,NA,0,3,,288,7,24,1996,07-24,3,29,1996-07-24,Barcelona,32.7777777777778,26.6666666666667,20,23.8888888888889,17.2222222222222,11.1111111111111
1996-7-25,86,80,75,75,68,57,94,68,42,30.04,29.98,29.92,6,5,4,18,8,NA,0,4,,63,7,25,1996,07-25,4,29,1996-07-25,Barcelona,30,26.6666666666667,23.8888888888889,23.8888888888889,20,13.8888888888889
1996-7-26,84,80,73,72,66,61,94,66,51,29.98,29.88,29.83,6,6,5,23,12,28,0,3,,71,7,26,1996,07-26,5,29,1996-07-26,Barcelona,28.8888888888889,26.6666666666667,22.7777777777778,22.2222222222222,18.8888888888889,16.1111111111111
1996-7-27,82,76,69,72,65,59,94,72,51,30.04,29.97,29.92,6,6,4,16,7,NA,0,4,Thunderstorm,356,7,27,1996,07-27,6,29,1996-07-27,Barcelona,27.7777777777778,24.4444444444445,20.5555555555555,22.2222222222222,18.3333333333333,15
1996-7-28,82,74,66,70,64,61,88,70,54,30.09,30.06,30.04,6,6,5,14,11,NA,0,1,,287,7,28,1996,07-28,7,30,1996-07-28,Barcelona,27.7777777777778,23.3333333333333,18.8888888888889,21.1111111111111,17.7777777777778,16.1111111111111
1996-7-29,84,76,69,72,66,63,88,70,54,30.09,30.02,29.95,6,6,4,17,9,NA,0,1,Rain,261,7,29,1996,07-29,1,30,1996-07-29,Barcelona,28.8888888888889,24.4444444444445,20.5555555555555,22.2222222222222,18.8888888888889,17.2222222222222
1996-7-30,84,76,69,72,68,61,94,71,51,30.06,30.02,30.01,6,6,6,14,8,NA,0,3,,128,7,30,1996,07-30,2,30,1996-07-30,Barcelona,28.8888888888889,24.4444444444445,20.5555555555555,22.2222222222222,20,16.1111111111111
1996-7-31,84,78,71,73,71,68,89,78,66,30.06,30.03,29.98,6,6,4,12,6,NA,0,2,,229,7,31,1996,07-31,3,30,1996-07-31,Barcelona,28.8888888888889,25.5555555555555,21.6666666666667,22.7777777777778,21.6666666666667,20
1996-8-1,84,78,71,73,71,68,94,79,70,30.06,30.03,30.01,6,6,5,16,6,NA,0,1,,247,8,1,1996,08-01,4,30,1996-08-01,Barcelona,28.8888888888889,25.5555555555555,21.6666666666667,22.7777777777778,21.6666666666667,20
1996-8-2,84,78,73,73,71,66,94,79,61,30.12,30.08,30.06,6,6,4,9,4,NA,0,2,,176,8,2,1996,08-02,5,30,1996-08-02,Barcelona,28.8888888888889,25.5555555555555,22.7777777777778,22.7777777777778,21.6666666666667,18.8888888888889
1996-8-3,82,78,71,72,68,66,89,76,62,30.15,30.13,30.09,6,6,4,14,7,NA,0,3,,119,8,3,1996,08-03,6,30,1996-08-03,Barcelona,27.7777777777778,25.5555555555555,21.6666666666667,22.2222222222222,20,18.8888888888889
1996-8-4,82,76,71,72,68,66,88,75,58,30.12,30.02,29.92,6,6,4,16,6,NA,0,3,,254,8,4,1996,08-04,7,31,1996-08-04,Barcelona,27.7777777777778,24.4444444444445,21.6666666666667,22.2222222222222,20,18.8888888888889
1996-8-5,84,78,73,73,73,72,94,86,70,29.95,29.9,29.86,6,6,4,12,8,NA,0,5,Rain-Thunderstorm,213,8,5,1996,08-05,1,31,1996-08-05,Barcelona,28.8888888888889,25.5555555555555,22.7777777777778,22.7777777777778,22.7777777777778,22.2222222222222
1996-8-6,84,80,73,73,73,72,94,81,66,29.95,29.93,29.89,6,6,3,12,5,NA,0,3,,239,8,6,1996,08-06,2,31,1996-08-06,Barcelona,28.8888888888889,26.6666666666667,22.7777777777778,22.7777777777778,22.7777777777778,22.2222222222222
1996-8-7,82,78,73,73,72,70,94,83,70,30.04,29.99,29.95,6,6,5,16,7,NA,0,4,,72,8,7,1996,08-07,3,31,1996-08-07,Barcelona,27.7777777777778,25.5555555555555,22.7777777777778,22.7777777777778,22.2222222222222,21.1111111111111
1996-8-8,82,75,68,73,67,59,94,77,48,30.06,29.96,29.92,6,6,1,14,8,25,0,3,Rain-Thunderstorm,65,8,8,1996,08-08,4,31,1996-08-08,Barcelona,27.7777777777778,23.8888888888889,20,22.7777777777778,19.4444444444445,15
1996-8-9,84,76,69,72,70,68,94,80,66,30.01,29.98,29.92,6,6,6,16,7,NA,0,1,,253,8,9,1996,08-09,5,31,1996-08-09,Barcelona,28.8888888888889,24.4444444444445,20.5555555555555,22.2222222222222,21.1111111111111,20
1996-8-10,84,78,73,75,72,66,94,80,70,29.95,29.89,29.83,6,6,5,16,7,NA,0,4,,269,8,10,1996,08-10,6,31,1996-08-10,Barcelona,28.8888888888889,25.5555555555555,22.7777777777778,23.8888888888889,22.2222222222222,18.8888888888889
1996-8-11,82,78,73,75,68,64,94,73,58,29.92,29.88,29.86,6,6,5,14,7,NA,0,3,,104,8,11,1996,08-11,7,32,1996-08-11,Barcelona,27.7777777777778,25.5555555555555,22.7777777777778,23.8888888888889,20,17.7777777777778
1996-8-12,84,78,71,72,67,64,94,75,55,29.98,29.92,29.89,6,6,4,16,6,NA,0,5,Rain,101,8,12,1996,08-12,1,32,1996-08-12,Barcelona,28.8888888888889,25.5555555555555,21.6666666666667,22.2222222222222,19.4444444444445,17.7777777777778
1996-8-13,77,73,69,70,63,59,94,71,57,30.01,29.99,29.95,6,6,6,14,9,NA,0,6,Rain,85,8,13,1996,08-13,2,32,1996-08-13,Barcelona,25,22.7777777777778,20.5555555555555,21.1111111111111,17.2222222222222,15
1996-8-14,78,72,66,64,62,57,94,69,47,30.01,29.98,29.95,6,6,5,14,5,NA,0,5,Rain-Thunderstorm,16,8,14,1996,08-14,3,32,1996-08-14,Barcelona,25.5555555555555,22.2222222222222,18.8888888888889,17.7777777777778,16.6666666666667,13.8888888888889
1996-8-15,80,74,68,68,66,63,88,73,61,30.04,30,29.98,6,6,4,14,7,NA,0,3,,341,8,15,1996,08-15,4,32,1996-08-15,Barcelona,26.6666666666667,23.3333333333333,20,20,18.8888888888889,17.2222222222222
1996-8-16,82,76,69,68,66,61,94,72,51,30.06,30.03,30.01,6,6,5,12,6,NA,0,1,,91,8,16,1996,08-16,5,32,1996-08-16,Barcelona,27.7777777777778,24.4444444444445,20.5555555555555,20,18.8888888888889,16.1111111111111
1996-8-17,84,76,69,73,69,64,88,75,51,30.09,30.06,30.04,6,5,4,9,6,NA,0,1,,254,8,17,1996,08-17,6,32,1996-08-17,Barcelona,28.8888888888889,24.4444444444445,20.5555555555555,22.7777777777778,20.5555555555555,17.7777777777778
1996-8-18,87,78,69,73,71,68,94,81,62,30.06,30,29.92,6,6,4,12,6,NA,0,2,,248,8,18,1996,08-18,7,33,1996-08-18,Barcelona,30.5555555555555,25.5555555555555,20.5555555555555,22.7777777777778,21.6666666666667,20
1996-8-19,86,80,73,73,71,70,94,80,62,29.98,29.94,29.92,6,6,5,14,5,NA,0,2,,226,8,19,1996,08-19,1,33,1996-08-19,Barcelona,30,26.6666666666667,22.7777777777778,22.7777777777778,21.6666666666667,21.1111111111111
1996-8-20,84,76,69,75,71,66,94,80,66,29.95,29.91,29.86,6,6,4,12,7,NA,0,2,,70,8,20,1996,08-20,2,33,1996-08-20,Barcelona,28.8888888888889,24.4444444444445,20.5555555555555,23.8888888888889,21.6666666666667,18.8888888888889
1996-8-21,84,78,73,73,68,64,89,75,58,29.92,29.87,29.83,6,6,5,14,9,NA,0,3,Thunderstorm,359,8,21,1996,08-21,3,33,1996-08-21,Barcelona,28.8888888888889,25.5555555555555,22.7777777777778,22.7777777777778,20,17.7777777777778
1996-8-22,80,74,68,73,66,63,89,74,61,30.01,29.97,29.92,6,6,5,18,8,NA,0,2,Rain,267,8,22,1996,08-22,4,33,1996-08-22,Barcelona,26.6666666666667,23.3333333333333,20,22.7777777777778,18.8888888888889,17.2222222222222
1996-8-23,84,76,68,75,69,63,94,79,65,29.98,29.92,29.86,6,6,6,14,7,NA,0,2,,326,8,23,1996,08-23,5,33,1996-08-23,Barcelona,28.8888888888889,24.4444444444445,20,23.8888888888889,20.5555555555555,17.2222222222222
1996-8-24,77,73,68,73,65,50,94,75,49,30.01,29.95,29.89,6,6,3,16,8,NA,0,4,Rain,81,8,24,1996,08-24,6,33,1996-08-24,Barcelona,25,22.7777777777778,20,22.7777777777778,18.3333333333333,10
1996-8-25,80,72,64,64,60,52,94,65,37,30.04,30.01,29.98,6,6,6,16,7,NA,0,2,,297,8,25,1996,08-25,7,34,1996-08-25,Barcelona,26.6666666666667,22.2222222222222,17.7777777777778,17.7777777777778,15.5555555555555,11.1111111111111
1996-8-26,82,75,68,70,67,64,94,76,58,29.98,29.95,29.92,6,6,5,12,6,NA,0,4,Rain-Thunderstorm,135,8,26,1996,08-26,1,34,1996-08-26,Barcelona,27.7777777777778,23.8888888888889,20,21.1111111111111,19.4444444444445,17.7777777777778
1996-8-27,80,74,69,70,66,63,88,76,58,30.04,29.96,29.92,6,6,6,14,9,NA,0,3,Rain-Thunderstorm,73,8,27,1996,08-27,2,34,1996-08-27,Barcelona,26.6666666666667,23.3333333333333,20.5555555555555,21.1111111111111,18.8888888888889,17.2222222222222
1996-8-28,78,72,66,68,59,52,94,65,44,30.06,30.04,30.01,6,6,1,18,9,NA,0,4,Rain-Thunderstorm,284,8,28,1996,08-28,3,34,1996-08-28,Barcelona,25.5555555555555,22.2222222222222,18.8888888888889,20,15,11.1111111111111
1996-8-29,69,66,64,64,63,59,94,88,68,30.09,30.05,30.04,6,5,1,14,8,NA,0,6,Rain-Thunderstorm,69,8,29,1996,08-29,4,34,1996-08-29,Barcelona,20.5555555555555,18.8888888888889,17.7777777777778,17.7777777777778,17.2222222222222,15
1996-8-30,75,67,59,63,60,57,100,81,53,30.15,30.1,30.04,6,6,2,14,8,NA,0,4,Rain-Thunderstorm,302,8,30,1996,08-30,5,34,1996-08-30,Barcelona,23.8888888888889,19.4444444444445,15,17.2222222222222,15.5555555555555,13.8888888888889
1996-8-31,75,67,59,61,57,50,94,72,41,30.15,30.13,30.09,6,6,6,12,8,NA,0,3,,318,8,31,1996,08-31,6,34,1996-08-31,Barcelona,23.8888888888889,19.4444444444445,15,16.1111111111111,13.8888888888889,10
1996-9-1,78,69,60,63,58,52,88,68,44,30.18,30.11,30.04,6,6,6,16,9,NA,0,2,,315,9,1,1996,09-01,7,35,1996-09-01,Barcelona,25.5555555555555,20.5555555555555,15.5555555555555,17.2222222222222,14.4444444444445,11.1111111111111
1996-9-2,75,68,62,64,61,48,94,77,59,30.09,30,29.92,6,6,2,16,7,25,0,5,Rain-Thunderstorm,56,9,2,1996,09-02,1,35,1996-09-02,Barcelona,23.8888888888889,20,16.6666666666667,17.7777777777778,16.1111111111111,8.88888888888891
1996-9-3,75,66,57,57,54,52,94,73,44,30.01,29.96,29.89,6,6,2,18,11,NA,0,4,Rain-Thunderstorm,326,9,3,1996,09-03,2,35,1996-09-03,Barcelona,23.8888888888889,18.8888888888889,13.8888888888889,13.8888888888889,12.2222222222222,11.1111111111111
1996-9-4,78,68,57,66,59,54,88,74,57,29.98,29.96,29.95,6,6,6,18,11,NA,0,2,,294,9,4,1996,09-04,3,35,1996-09-04,Barcelona,25.5555555555555,20,13.8888888888889,18.8888888888889,15,12.2222222222222
1996-9-5,80,72,64,70,66,59,94,79,61,29.95,29.93,29.86,6,6,4,12,7,NA,0,2,,298,9,5,1996,09-05,4,35,1996-09-05,Barcelona,26.6666666666667,22.2222222222222,17.7777777777778,21.1111111111111,18.8888888888889,15
1996-9-6,80,72,64,72,64,57,94,76,54,30.01,29.96,29.92,6,6,4,14,9,NA,0,3,,355,9,6,1996,09-06,5,35,1996-09-06,Barcelona,26.6666666666667,22.2222222222222,17.7777777777778,22.2222222222222,17.7777777777778,13.8888888888889
1996-9-7,80,72,64,72,66,61,94,80,61,29.98,29.95,29.92,6,5,4,12,7,NA,0,2,,75,9,7,1996,09-07,6,35,1996-09-07,Barcelona,26.6666666666667,22.2222222222222,17.7777777777778,22.2222222222222,18.8888888888889,16.1111111111111
1996-9-8,75,68,62,66,56,48,83,61,43,30.01,29.95,29.89,6,6,6,12,6,NA,0,4,Thunderstorm,83,9,8,1996,09-08,7,36,1996-09-08,Barcelona,23.8888888888889,20,16.6666666666667,18.8888888888889,13.3333333333333,8.88888888888891
1996-9-9,73,68,62,59,54,48,78,61,46,29.95,29.9,29.86,6,6,6,14,8,NA,0,5,,35,9,9,1996,09-09,1,36,1996-09-09,Barcelona,22.7777777777778,20,16.6666666666667,15,12.2222222222222,8.88888888888891
1996-9-10,77,68,59,55,54,50,88,63,44,29.98,29.96,29.92,6,6,6,25,15,NA,0,3,,40,9,10,1996,09-10,2,36,1996-09-10,Barcelona,25,20,15,12.7777777777778,12.2222222222222,10
1996-9-11,73,66,60,57,51,48,82,56,41,29.95,29.86,29.74,6,6,4,21,12,28,0,5,Rain,40,9,11,1996,09-11,3,36,1996-09-11,Barcelona,22.7777777777778,18.8888888888889,15.5555555555555,13.8888888888889,10.5555555555555,8.88888888888891
1996-9-12,69,64,59,61,57,55,94,80,60,29.77,29.67,29.62,6,5,4,18,12,NA,0,7,Rain,340,9,12,1996,09-12,4,36,1996-09-12,Barcelona,20.5555555555555,17.7777777777778,15,16.1111111111111,13.8888888888889,12.7777777777778
1996-9-13,75,66,57,61,52,48,78,61,44,29.98,29.86,29.77,6,6,6,14,6,NA,0,1,,315,9,13,1996,09-13,5,36,1996-09-13,Barcelona,23.8888888888889,18.8888888888889,13.8888888888889,16.1111111111111,11.1111111111111,8.88888888888891
1996-9-14,71,68,64,61,56,52,88,67,57,30.06,30.03,29.98,6,6,6,14,8,NA,0,5,,139,9,14,1996,09-14,6,36,1996-09-14,Barcelona,21.6666666666667,20,17.7777777777778,16.1111111111111,13.3333333333333,11.1111111111111
1996-9-15,75,68,60,63,58,54,94,74,50,30.09,30.07,30.04,6,6,4,12,7,NA,0,4,,58,9,15,1996,09-15,7,37,1996-09-15,Barcelona,23.8888888888889,20,15.5555555555555,17.2222222222222,14.4444444444445,12.2222222222222
1996-9-16,77,70,62,68,64,59,88,80,65,30.09,30.01,29.95,6,6,4,12,6,NA,0,3,,284,9,16,1996,09-16,1,37,1996-09-16,Barcelona,25,21.1111111111111,16.6666666666667,20,17.7777777777778,15
1996-9-17,69,64,60,68,63,54,94,88,64,29.92,29.81,29.74,6,4,1,14,6,NA,0,6,Rain-Thunderstorm,3,9,17,1996,09-17,2,37,1996-09-17,Barcelona,20.5555555555555,17.7777777777778,15.5555555555555,20,17.2222222222222,12.2222222222222
1996-9-18,73,65,57,59,56,54,94,71,53,29.8,29.71,29.62,6,6,5,16,8,NA,0,4,,293,9,18,1996,09-18,3,37,1996-09-18,Barcelona,22.7777777777778,18.3333333333333,13.8888888888889,15,13.3333333333333,12.2222222222222
1996-9-19,75,68,60,61,56,48,94,67,41,29.74,29.59,29.5,6,6,6,16,7,NA,0,3,Rain,340,9,19,1996,09-19,4,37,1996-09-19,Barcelona,23.8888888888889,20,15.5555555555555,16.1111111111111,13.3333333333333,8.88888888888891
1996-9-20,73,66,60,64,58,50,94,76,47,29.77,29.71,29.62,6,6,3,23,8,NA,0,4,Rain,292,9,20,1996,09-20,5,37,1996-09-20,Barcelona,22.7777777777778,18.8888888888889,15.5555555555555,17.7777777777778,14.4444444444445,10
1996-9-21,77,68,59,63,58,55,94,76,50,29.62,29.57,29.53,6,6,5,21,8,NA,0,4,Rain,291,9,21,1996,09-21,6,37,1996-09-21,Barcelona,25,20,15,17.2222222222222,14.4444444444445,12.7777777777778
1996-9-22,69,64,59,59,54,48,94,76,52,29.77,29.66,29.62,6,6,6,12,7,NA,0,3,Thunderstorm,357,9,22,1996,09-22,7,38,1996-09-22,Barcelona,20.5555555555555,17.7777777777778,15,15,12.2222222222222,8.88888888888891
1996-9-23,75,65,55,57,50,43,94,62,38,29.86,29.8,29.77,6,6,6,16,9,NA,0,3,,334,9,23,1996,09-23,1,38,1996-09-23,Barcelona,23.8888888888889,18.3333333333333,12.7777777777778,13.8888888888889,10,6.11111111111109
1996-9-24,75,65,55,61,54,52,88,70,50,29.92,29.89,29.86,6,6,6,18,9,NA,0,2,,309,9,24,1996,09-24,2,38,1996-09-24,Barcelona,23.8888888888889,18.3333333333333,12.7777777777778,16.1111111111111,12.2222222222222,11.1111111111111
1996-9-25,75,67,59,59,55,50,88,70,44,29.95,29.9,29.86,6,6,5,16,7,NA,0,4,Thunderstorm,36,9,25,1996,09-25,3,38,1996-09-25,Barcelona,23.8888888888889,19.4444444444445,15,15,12.7777777777778,10
1996-9-26,73,65,57,57,54,50,94,69,44,30.12,30.07,29.98,6,6,6,21,11,NA,0,2,Thunderstorm,291,9,26,1996,09-26,4,38,1996-09-26,Barcelona,22.7777777777778,18.3333333333333,13.8888888888889,13.8888888888889,12.2222222222222,10
1996-9-27,75,66,57,68,60,54,94,80,53,30.18,30.13,30.09,6,6,6,12,6,NA,0,2,,297,9,27,1996,09-27,5,38,1996-09-27,Barcelona,23.8888888888889,18.8888888888889,13.8888888888889,20,15.5555555555555,12.2222222222222
1996-9-28,73,68,62,64,62,59,94,83,69,30.27,30.23,30.18,6,5,2,9,5,NA,0,5,,335,9,28,1996,09-28,6,38,1996-09-28,Barcelona,22.7777777777778,20,16.6666666666667,17.7777777777778,16.6666666666667,15
1996-9-29,77,68,60,68,64,59,100,86,69,30.3,30.27,30.24,6,6,3,14,6,NA,0,3,,284,9,29,1996,09-29,7,39,1996-09-29,Barcelona,25,20,15.5555555555555,20,17.7777777777778,15
1996-9-30,71,66,62,68,65,61,94,87,78,30.24,30.12,30.01,6,5,3,12,6,NA,0,6,,250,9,30,1996,09-30,1,39,1996-09-30,Barcelona,21.6666666666667,18.8888888888889,16.6666666666667,20,18.3333333333333,16.1111111111111
1996-10-1,78,70,62,68,59,43,88,71,29,30.01,29.9,29.83,6,6,5,16,11,NA,0,3,,224,10,1,1996,10-01,2,39,1996-10-01,Barcelona,25.5555555555555,21.1111111111111,16.6666666666667,20,15,6.11111111111109
1996-10-2,75,65,55,59,48,43,94,59,36,30.06,30.01,29.95,6,6,6,16,9,23,0,2,,332,10,2,1996,10-02,3,39,1996-10-02,Barcelona,23.8888888888889,18.3333333333333,12.7777777777778,15,8.88888888888891,6.11111111111109
1996-10-3,71,63,55,54,48,43,88,66,38,30.21,30.14,30.09,6,6,6,12,7,NA,0,1,,2,10,3,1996,10-03,4,39,1996-10-03,Barcelona,21.6666666666667,17.2222222222222,12.7777777777778,12.2222222222222,8.88888888888891,6.11111111111109
1996-10-4,71,63,55,52,51,50,88,67,46,30.24,30.15,30.06,6,6,6,12,7,NA,0,2,,322,10,4,1996,10-04,5,39,1996-10-04,Barcelona,21.6666666666667,17.2222222222222,12.7777777777778,11.1111111111111,10.5555555555555,10
1996-10-5,64,60,55,55,52,50,88,77,59,30.04,29.97,29.95,6,6,4,14,9,NA,0,5,Rain,39,10,5,1996,10-05,6,39,1996-10-05,Barcelona,17.7777777777778,15.5555555555555,12.7777777777778,12.7777777777778,11.1111111111111,10
1996-10-6,66,60,53,54,48,41,100,71,43,29.92,29.87,29.83,6,6,6,12,6,NA,0,6,,30,10,6,1996,10-06,7,40,1996-10-06,Barcelona,18.8888888888889,15.5555555555555,11.6666666666667,12.2222222222222,8.88888888888891,5
1996-10-7,68,60,53,55,46,39,82,61,40,29.98,29.88,29.83,6,6,6,23,7,NA,0,6,Rain,339,10,7,1996,10-07,1,40,1996-10-07,Barcelona,20,15.5555555555555,11.6666666666667,12.7777777777778,7.77777777777777,3.88888888888891
1996-10-8,68,60,53,55,46,39,94,60,40,30.04,29.97,29.95,6,6,6,16,6,NA,0,5,,345,10,8,1996,10-08,2,40,1996-10-08,Barcelona,20,15.5555555555555,11.6666666666667,12.7777777777778,7.77777777777777,3.88888888888891
1996-10-9,69,60,51,54,50,45,88,72,43,30.12,30.06,30.01,6,6,6,14,8,NA,0,1,,337,10,9,1996,10-09,3,40,1996-10-09,Barcelona,20.5555555555555,15.5555555555555,10.5555555555555,12.2222222222222,10,7.22222222222223
1996-10-10,71,63,55,57,53,48,88,73,49,30.12,30.09,30.06,6,6,4,12,8,NA,0,3,,335,10,10,1996,10-10,4,40,1996-10-10,Barcelona,21.6666666666667,17.2222222222222,12.7777777777778,13.8888888888889,11.6666666666667,8.88888888888891
1996-10-11,71,63,55,59,55,52,94,77,56,30.12,30.09,30.06,6,6,6,12,8,NA,0,4,,2,10,11,1996,10-11,5,40,1996-10-11,Barcelona,21.6666666666667,17.2222222222222,12.7777777777778,15,12.7777777777778,11.1111111111111
