CST,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,date,city,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-1-15,30,20,9,15,9,1,70,57,51,30.25,30.08,29.88,20,17,15,20,12,NA,0,5,,173,1,15,1996,01-15,1,02,1996-01-15,Chicago,-1.11111111111109,-6.66666666666669,-12.7777777777778,-9.44444444444446,-12.7777777777778,-17.2222222222222
1996-1-16,59,44,30,33,28,23,82,53,33,29.66,29.64,29.63,20,19,15,23,10,NA,0,4,,344,1,16,1996,01-16,2,02,1996-01-16,Chicago,15,6.66666666666669,-1.11111111111109,0.555555555555543,-2.22222222222223,-5
1996-1-17,37,33,29,37,33,28,100,94,86,30.27,29.43,29.16,10,3,0,34,12,46,0,8,Fog-Rain-Snow,70,1,17,1996,01-17,3,02,1996-01-17,Chicago,2.77777777777777,0.555555555555543,-1.66666666666669,2.77777777777777,0.555555555555543,-2.22222222222223
1996-1-18,-4,-6,-8,-6,-9,-11,91,87,83,30.16,30.11,30.05,10,7,4,34,30,55,0,3,Snow,333,1,18,1996,01-18,4,02,1996-01-18,Chicago,-20,-21.1111111111111,-22.2222222222222,-21.1111111111111,-22.7777777777778,-23.8888888888889
1996-1-19,9,3,-3,2,-2,-7,83,74,70,30.01,29.92,29.84,15,15,15,17,12,NA,0,6,,151,1,19,1996,01-19,5,02,1996-01-19,Chicago,-12.7777777777778,-16.1111111111111,-19.4444444444445,-16.6666666666667,-18.8888888888889,-21.6666666666667
1996-1-20,19,8,-2,6,2,-7,80,63,55,29.98,29.94,29.9,20,16,15,14,8,NA,0,1,,181,1,20,1996,01-20,6,02,1996-01-20,Chicago,-7.22222222222223,-13.3333333333333,-18.8888888888889,-14.4444444444445,-16.6666666666667,-21.6666666666667
1996-1-21,43,36,28,28,26,22,75,62,51,29.88,29.8,29.74,15,15,15,18,12,NA,0,4,,205,1,21,1996,01-21,7,03,1996-01-21,Chicago,6.11111111111109,2.22222222222223,-2.22222222222223,-2.22222222222223,-3.33333333333331,-5.55555555555554
1996-1-22,16,12,7,10,8,2,84,80,76,30.1,30.06,30.03,15,14,6,28,19,NA,0,6,,7,1,22,1996,01-22,1,03,1996-01-22,Chicago,-8.88888888888891,-11.1111111111111,-13.8888888888889,-12.2222222222222,-13.3333333333333,-16.6666666666667
1996-1-23,20,14,7,12,7,3,92,78,63,29.94,29.88,29.82,15,10,6,14,10,NA,0,6,Snow,342,1,23,1996,01-23,2,03,1996-01-23,Chicago,-6.66666666666669,-10,-13.8888888888889,-11.1111111111111,-13.8888888888889,-16.1111111111111
1996-1-24,23,14,5,12,7,2,84,69,57,30.05,30,29.95,15,15,15,7,3,NA,0,2,,133,1,24,1996,01-24,3,03,1996-01-24,Chicago,-5,-10,-15,-11.1111111111111,-13.8888888888889,-16.6666666666667
1996-1-25,11,8,5,7,4,-1,81,79,70,29.97,29.85,29.72,15,10,4,36,26,45,0,6,,346,1,25,1996,01-25,4,03,1996-01-25,Chicago,-11.6666666666667,-13.3333333333333,-15,-13.8888888888889,-15.5555555555555,-18.3333333333333
1996-1-26,11,6,0,4,-1,-5,83,74,70,30.03,30,29.98,15,12,3,23,20,NA,0,7,Snow,337,1,26,1996,01-26,5,03,1996-01-26,Chicago,-11.6666666666667,-14.4444444444445,-17.7777777777778,-15.5555555555555,-18.3333333333333,-20.5555555555555
1996-1-27,20,8,-3,11,5,-7,83,70,61,30.25,30.19,30.15,15,15,15,7,4,NA,0,2,,95,1,27,1996,01-27,6,03,1996-01-27,Chicago,-6.66666666666669,-13.3333333333333,-19.4444444444445,-11.6666666666667,-15,-21.6666666666667
1996-1-28,36,22,9,24,13,2,88,68,52,29.82,29.66,29.51,15,8,1,36,13,36,0,4,Snow,251,1,28,1996,01-28,7,04,1996-01-28,Chicago,2.22222222222223,-5.55555555555554,-12.7777777777778,-4.44444444444446,-10.5555555555555,-16.6666666666667
1996-1-29,1,-4,-10,-4,-8,-15,83,78,72,30.25,30.21,30.14,15,15,15,16,13,NA,0,5,,343,1,29,1996,01-29,1,04,1996-01-29,Chicago,-17.2222222222222,-20,-23.3333333333333,-20,-22.2222222222222,-26.1111111111111
1996-1-30,-1,-5,-9,-3,-11,-15,100,80,75,30.41,30.38,30.35,15,14,8,21,14,NA,0,4,,333,1,30,1996,01-30,2,04,1996-01-30,Chicago,-18.3333333333333,-20.5555555555555,-22.7777777777778,-19.4444444444445,-23.8888888888889,-26.1111111111111
1996-1-31,12,-8,-28,6,-12,-34,83,72,63,30.19,30.1,30.02,15,15,15,10,4,NA,0,1,,310,1,31,1996,01-31,3,04,1996-01-31,Chicago,-11.1111111111111,-22.2222222222222,-33.3333333333333,-14.4444444444445,-24.4444444444445,-36.6666666666667
1996-2-1,16,-2,-19,12,-9,-24,83,77,71,30.38,30.16,30.1,15,13,10,32,8,32,0,2,,330,2,1,1996,02-01,4,04,1996-02-01,Chicago,-8.88888888888891,-18.8888888888889,-28.3333333333333,-11.1111111111111,-22.7777777777778,-31.1111111111111
1996-2-2,-4,-12,-20,-8,-16,-26,83,78,73,30.49,30.45,30.4,15,15,15,13,6,NA,0,1,,334,2,2,1996,02-02,5,04,1996-02-02,Chicago,-20,-24.4444444444445,-28.8888888888889,-22.2222222222222,-26.6666666666667,-32.2222222222222
1996-2-3,5,-8,-20,-2,-11,-27,75,70,63,30.52,30.49,30.46,15,15,15,9,7,NA,0,0,,320,2,3,1996,02-03,6,04,1996-02-03,Chicago,-15,-22.2222222222222,-28.8888888888889,-18.8888888888889,-23.8888888888889,-32.7777777777778
1996-2-4,30,10,-11,15,5,-16,78,62,45,30.38,30.23,30.09,15,15,15,22,10,NA,0,1,,194,2,4,1996,02-04,7,05,1996-02-04,Chicago,-1.11111111111109,-12.2222222222222,-23.8888888888889,-9.44444444444446,-15,-26.6666666666667
1996-2-5,32,23,14,19,14,10,81,68,51,30.33,30.28,30.25,20,16,15,8,6,NA,0,3,,112,2,5,1996,02-05,1,05,1996-02-05,Chicago,0,-5,-10,-7.22222222222223,-10,-12.2222222222222
1996-2-6,52,40,27,31,28,23,82,54,43,29.95,29.87,29.79,20,19,15,14,7,NA,0,5,,248,2,6,1996,02-06,2,05,1996-02-06,Chicago,11.1111111111111,4.44444444444446,-2.77777777777777,-0.555555555555543,-2.22222222222223,-5
1996-2-7,54,42,29,34,29,24,85,57,41,29.78,29.74,29.68,20,19,15,13,4,NA,0,6,,277,2,7,1996,02-07,3,05,1996-02-07,Chicago,12.2222222222222,5.55555555555554,-1.66666666666669,1.11111111111109,-1.66666666666669,-4.44444444444446
1996-2-8,54,45,36,39,33,22,83,61,42,29.96,29.93,29.88,20,20,15,21,11,NA,0,3,,296,2,8,1996,02-08,4,05,1996-02-08,Chicago,12.2222222222222,7.22222222222223,2.22222222222223,3.88888888888891,0.555555555555543,-5.55555555555554
1996-2-9,70,49,28,41,35,25,85,53,35,29.78,29.71,29.64,20,18,6,10,4,NA,0,3,,232,2,9,1996,02-09,5,05,1996-02-09,Chicago,21.1111111111111,9.44444444444446,-2.22222222222223,5,1.66666666666669,-3.88888888888891
1996-2-10,41,38,34,33,25,18,82,59,50,30.23,30.13,30.04,20,16,8,36,28,63,0,3,,327,2,10,1996,02-10,6,05,1996-02-10,Chicago,5,3.33333333333331,1.11111111111109,0.555555555555543,-3.88888888888891,-7.77777777777777
1996-2-11,43,34,25,26,23,16,78,57,41,30.36,30.34,30.31,20,20,20,32,20,NA,0,0,,324,2,11,1996,02-11,7,06,1996-02-11,Chicago,6.11111111111109,1.11111111111109,-3.88888888888891,-3.33333333333331,-5,-8.88888888888891
1996-2-12,57,38,18,30,23,11,84,52,32,30.39,30.28,30.13,20,20,15,13,4,NA,0,1,,242,2,12,1996,02-12,1,06,1996-02-12,Chicago,13.8888888888889,3.33333333333331,-7.77777777777777,-1.11111111111109,-5,-11.6666666666667
1996-2-13,57,47,37,32,28,25,73,48,29,29.98,29.91,29.84,20,19,15,21,14,NA,0,5,,314,2,13,1996,02-13,2,06,1996-02-13,Chicago,13.8888888888889,8.33333333333331,2.77777777777777,0,-2.22222222222223,-3.88888888888891
1996-2-14,52,41,30,29,23,18,79,49,34,29.99,29.8,29.69,20,20,15,38,17,NA,0,5,,338,2,14,1996,02-14,3,06,1996-02-14,Chicago,11.1111111111111,5,-1.11111111111109,-1.66666666666669,-5,-7.77777777777777
1996-2-15,34,28,18,29,15,2,79,65,39,30.35,30.16,29.96,20,14,2,34,26,48,0,6,Snow,347,2,15,1996,02-15,4,06,1996-02-15,Chicago,1.11111111111109,-2.22222222222223,-7.77777777777777,-1.66666666666669,-9.44444444444446,-16.6666666666667
1996-2-16,47,30,14,19,15,8,80,49,29,30.22,30.01,29.8,20,20,15,26,16,NA,0,0,,208,2,16,1996,02-16,5,06,1996-02-16,Chicago,8.33333333333331,-1.11111111111109,-10,-7.22222222222223,-9.44444444444446,-13.3333333333333
1996-2-17,37,33,27,26,22,18,75,62,46,30.08,30.04,30,20,20,15,26,20,NA,0,6,,12,2,17,1996,02-17,6,06,1996-02-17,Chicago,2.77777777777777,0.555555555555543,-2.77777777777777,-3.33333333333331,-5.55555555555554,-7.77777777777777
1996-2-18,54,40,25,23,20,17,78,45,24,29.63,29.53,29.46,20,20,15,13,8,NA,0,3,,153,2,18,1996,02-18,7,07,1996-02-18,Chicago,12.2222222222222,4.44444444444446,-3.88888888888891,-5,-6.66666666666669,-8.33333333333331
1996-2-19,66,50,34,31,25,21,82,38,17,29.5,29.45,29.39,20,20,15,17,7,NA,0,4,,268,2,19,1996,02-19,1,07,1996-02-19,Chicago,18.8888888888889,10,1.11111111111109,-0.555555555555543,-3.88888888888891,-6.11111111111109
1996-2-20,59,48,37,30,28,26,73,43,31,29.84,29.76,29.66,20,20,15,9,6,NA,0,4,,68,2,20,1996,02-20,2,07,1996-02-20,Chicago,15,8.88888888888891,2.77777777777777,-1.11111111111109,-2.22222222222223,-3.33333333333331
1996-2-21,52,46,41,39,31,25,85,61,34,29.96,29.91,29.86,20,17,15,12,5,NA,0,5,,115,2,21,1996,02-21,3,07,1996-02-21,Chicago,11.1111111111111,7.77777777777777,5,3.88888888888891,-0.555555555555543,-3.88888888888891
1996-2-22,38,34,30,38,34,30,97,96,93,29.75,29.6,29.45,1,1,1,13,9,NA,0,8,Fog,149,2,22,1996,02-22,4,07,1996-02-22,Chicago,3.33333333333331,1.11111111111109,-1.11111111111109,3.33333333333331,1.11111111111109,-1.11111111111109
1996-2-23,52,43,34,30,25,22,85,47,36,29.81,29.76,29.63,20,19,15,32,19,38,0,1,,302,2,23,1996,02-23,5,07,1996-02-23,Chicago,11.1111111111111,6.11111111111109,1.11111111111109,-1.11111111111109,-3.88888888888891,-5.55555555555554
1996-2-24,61,41,21,28,15,6,85,32,11,29.88,29.79,29.68,20,20,15,17,7,NA,0,4,,145,2,24,1996,02-24,6,07,1996-02-24,Chicago,16.1111111111111,5,-6.11111111111109,-2.22222222222223,-9.44444444444446,-14.4444444444445
1996-2-25,45,38,32,26,25,24,73,55,45,29.82,29.74,29.68,20,20,20,28,18,NA,0,3,,359,2,25,1996,02-25,7,08,1996-02-25,Chicago,7.22222222222223,3.33333333333331,0,-3.33333333333331,-3.88888888888891,-4.44444444444446
1996-2-26,14,12,11,11,9,6,88,83,74,29.9,29.84,29.78,10,4,2,21,16,NA,0,8,Snow,180,2,26,1996,02-26,1,08,1996-02-26,Chicago,-10,-11.1111111111111,-11.6666666666667,-11.6666666666667,-12.7777777777778,-14.4444444444445
1996-2-27,16,10,5,6,3,0,80,69,59,30.19,30.06,29.92,20,19,15,31,23,NA,0,2,,322,2,27,1996,02-27,2,08,1996-02-27,Chicago,-8.88888888888891,-12.2222222222222,-15,-14.4444444444445,-16.1111111111111,-17.7777777777778
1996-2-28,20,12,3,4,1,-1,84,57,42,30.5,30.46,30.4,20,19,15,26,20,NA,0,1,,333,2,28,1996,02-28,3,08,1996-02-28,Chicago,-6.66666666666669,-11.1111111111111,-16.1111111111111,-15.5555555555555,-17.2222222222222,-18.3333333333333
1996-2-29,36,18,-1,18,5,-5,83,51,34,30.4,30.2,29.95,20,20,15,23,10,NA,0,0,,228,2,29,1996,02-29,4,08,1996-02-29,Chicago,2.22222222222223,-7.77777777777777,-18.3333333333333,-7.77777777777777,-15,-20.5555555555555
1996-3-1,38,30,23,30,18,12,77,57,40,29.82,29.77,29.7,20,15,7,24,19,NA,0,5,Snow,318,3,1,1996,03-01,5,08,1996-03-01,Chicago,3.33333333333331,-1.11111111111109,-5,-1.11111111111109,-7.77777777777777,-11.1111111111111
1996-3-2,23,20,16,10,8,6,74,57,49,30.05,30.02,29.93,20,18,15,29,23,NA,0,3,,333,3,2,1996,03-02,6,08,1996-03-02,Chicago,-5,-6.66666666666669,-8.88888888888891,-12.2222222222222,-13.3333333333333,-14.4444444444445
1996-3-3,38,26,14,20,13,4,80,51,43,30.1,30.06,30,20,20,15,20,13,NA,0,3,,182,3,3,1996,03-03,7,09,1996-03-03,Chicago,3.33333333333331,-3.33333333333331,-10,-6.66666666666669,-10.5555555555555,-15.5555555555555
1996-3-4,45,34,23,28,21,15,78,55,42,29.87,29.78,29.7,20,19,15,22,12,NA,0,7,,86,3,4,1996,03-04,1,09,1996-03-04,Chicago,7.22222222222223,1.11111111111109,-5,-2.22222222222223,-6.11111111111109,-9.44444444444446
1996-3-5,25,22,18,16,14,11,81,70,58,29.9,29.86,29.82,15,11,3,18,15,NA,0,8,Snow,41,3,5,1996,03-05,2,09,1996-03-05,Chicago,-3.88888888888891,-5.55555555555554,-7.77777777777777,-8.88888888888891,-10,-11.6666666666667
1996-3-6,14,10,5,3,0,-3,77,64,56,30.45,30.35,30.22,20,16,15,25,23,NA,0,4,,354,3,6,1996,03-06,3,09,1996-03-06,Chicago,-10,-12.2222222222222,-15,-16.1111111111111,-17.7777777777778,-19.4444444444445
1996-3-7,10,2,-5,2,-1,-11,83,69,58,30.61,30.58,30.52,20,19,15,26,15,NA,0,2,,338,3,7,1996,03-07,4,09,1996-03-07,Chicago,-12.2222222222222,-16.6666666666667,-20.5555555555555,-16.6666666666667,-18.3333333333333,-23.8888888888889
1996-3-8,27,11,-5,13,3,-11,76,61,49,30.66,30.49,29.66,20,19,15,17,12,NA,0,0,,319,3,8,1996,03-08,5,09,1996-03-08,Chicago,-2.77777777777777,-11.6666666666667,-20.5555555555555,-10.5555555555555,-16.1111111111111,-23.8888888888889
1996-3-9,48,26,5,15,10,-3,69,34,23,30.48,30.31,30.21,20,19,15,23,12,NA,0,1,,242,3,9,1996,03-09,6,09,1996-03-09,Chicago,8.88888888888891,-3.33333333333331,-15,-9.44444444444446,-12.2222222222222,-19.4444444444445
1996-3-10,59,46,34,30,25,19,64,38,27,30.23,30.17,30.1,20,20,20,25,16,NA,0,3,,179,3,10,1996,03-10,7,10,1996-03-10,Chicago,15,7.77777777777777,1.11111111111109,-1.11111111111109,-3.88888888888891,-7.22222222222223
1996-3-11,61,46,30,27,23,16,72,40,27,30.08,29.96,29.87,20,19,15,21,12,NA,0,5,,162,3,11,1996,03-11,1,10,1996-03-11,Chicago,16.1111111111111,7.77777777777777,-1.11111111111109,-2.77777777777777,-5,-8.88888888888891
1996-3-12,66,44,23,39,31,18,78,50,35,29.82,29.77,29.72,20,20,15,9,3,NA,0,2,,147,3,12,1996,03-12,2,10,1996-03-12,Chicago,18.8888888888889,6.66666666666669,-5,3.88888888888891,-0.555555555555543,-7.77777777777777
1996-3-13,70,58,47,44,35,34,66,37,26,29.85,29.8,29.77,20,20,20,17,6,NA,0,4,,322,3,13,1996,03-13,3,10,1996-03-13,Chicago,21.1111111111111,14.4444444444445,8.33333333333331,6.66666666666669,1.66666666666669,1.11111111111109
1996-3-14,50,42,34,33,26,18,86,59,32,30.1,30.04,29.98,20,13,4,23,17,NA,0,5,Fog,8,3,14,1996,03-14,4,10,1996-03-14,Chicago,10,5.55555555555554,1.11111111111109,0.555555555555543,-3.33333333333331,-7.77777777777777
1996-3-15,59,48,36,34,31,28,76,46,34,30,29.92,29.79,20,20,20,14,6,NA,0,0,,61,3,15,1996,03-15,5,10,1996-03-15,Chicago,15,8.88888888888891,2.22222222222223,1.11111111111109,-0.555555555555543,-2.22222222222223
1996-3-16,57,50,43,32,22,14,58,36,20,29.83,29.79,29.77,20,17,6,26,23,34,0,4,,344,3,16,1996,03-16,6,10,1996-03-16,Chicago,13.8888888888889,10,6.11111111111109,0,-5.55555555555554,-10
1996-3-17,50,38,27,25,20,15,72,42,26,29.9,29.86,29.83,20,19,15,23,7,NA,0,4,,323,3,17,1996,03-17,7,11,1996-03-17,Chicago,10,3.33333333333331,-2.77777777777777,-3.88888888888891,-6.66666666666669,-9.44444444444446
1996-3-18,45,35,25,25,20,18,75,49,34,30.04,30.02,30,20,20,15,28,17,46,0,2,,329,3,18,1996,03-18,1,11,1996-03-18,Chicago,7.22222222222223,1.66666666666669,-3.88888888888891,-3.88888888888891,-6.66666666666669,-7.77777777777777
1996-3-19,27,25,23,20,18,17,78,74,71,30.3,30.25,30.19,15,10,4,29,24,NA,0,7,,344,3,19,1996,03-19,2,11,1996-03-19,Chicago,-2.77777777777777,-3.88888888888891,-5,-6.66666666666669,-7.77777777777777,-8.33333333333331
1996-3-20,45,32,19,21,17,12,78,52,34,30.35,30.28,30.19,20,19,15,22,16,NA,0,2,,7,3,20,1996,03-20,3,11,1996-03-20,Chicago,7.22222222222223,0,-7.22222222222223,-6.11111111111109,-8.33333333333331,-11.1111111111111
1996-3-21,52,36,21,17,13,10,68,33,19,30.18,30.11,30.05,20,20,20,9,4,NA,0,4,,27,3,21,1996,03-21,4,11,1996-03-21,Chicago,11.1111111111111,2.22222222222223,-6.11111111111109,-8.33333333333331,-10.5555555555555,-12.2222222222222
1996-3-22,56,38,20,30,26,14,75,47,32,30.07,29.97,29.84,20,20,20,16,9,NA,0,4,,141,3,22,1996,03-22,5,11,1996-03-22,Chicago,13.3333333333333,3.33333333333331,-6.66666666666669,-1.11111111111109,-3.33333333333331,-10
1996-3-23,63,52,41,40,35,28,70,51,40,29.63,29.52,29.42,20,13,10,24,19,NA,0,5,,130,3,23,1996,03-23,6,11,1996-03-23,Chicago,17.2222222222222,11.1111111111111,5,4.44444444444446,1.66666666666669,-2.22222222222223
1996-3-24,32,22,11,29,13,0,88,80,56,29.75,29.7,29.62,3,3,0,34,31,60,0,8,Fog-Snow,341,3,24,1996,03-24,7,12,1996-03-24,Chicago,0,-5.55555555555554,-11.6666666666667,-1.66666666666669,-10.5555555555555,-17.7777777777778
1996-3-25,20,14,7,10,4,-1,84,65,51,30.29,30.26,30.2,20,16,7,29,24,NA,0,3,Snow,322,3,25,1996,03-25,1,12,1996-03-25,Chicago,-6.66666666666669,-10,-13.8888888888889,-12.2222222222222,-15.5555555555555,-18.3333333333333
1996-3-26,39,19,-1,24,13,-13,69,59,51,30.33,30.22,30.12,20,19,15,26,11,33,0,0,,182,3,26,1996,03-26,2,12,1996-03-26,Chicago,3.88888888888891,-7.22222222222223,-18.3333333333333,-4.44444444444446,-10.5555555555555,-25
1996-3-27,48,34,19,20,16,14,78,40,26,30.14,30.11,30.07,20,20,15,23,11,NA,0,3,,158,3,27,1996,03-27,3,12,1996-03-27,Chicago,8.88888888888891,1.11111111111109,-7.22222222222223,-6.66666666666669,-8.88888888888891,-10
1996-3-28,41,32,25,30,26,19,82,69,49,30.09,30.02,29.84,15,11,10,12,5,NA,0,8,,131,3,28,1996,03-28,4,12,1996-03-28,Chicago,5,0,-3.88888888888891,-1.11111111111109,-3.33333333333331,-7.22222222222223
1996-3-29,36,35,34,35,33,31,93,90,89,29.89,29.81,29.76,0,0,0,21,11,NA,0,8,Fog,142,3,29,1996,03-29,5,12,1996-03-29,Chicago,2.22222222222223,1.66666666666669,1.11111111111109,1.66666666666669,0.555555555555543,-0.555555555555543
1996-3-30,43,35,27,23,22,21,78,54,44,30.1,30.08,30.06,20,19,15,29,22,NA,0,3,,347,3,30,1996,03-30,6,12,1996-03-30,Chicago,6.11111111111109,1.66666666666669,-2.77777777777777,-5,-5.55555555555554,-6.11111111111109
1996-3-31,45,36,27,30,26,17,82,61,39,30.27,30.24,30.2,20,20,15,13,3,NA,0,5,,109,3,31,1996,03-31,7,13,1996-03-31,Chicago,7.22222222222223,2.22222222222223,-2.77777777777777,-1.11111111111109,-3.33333333333331,-8.33333333333331
1996-4-1,59,43,27,28,26,19,85,44,30,30.19,30.03,29.81,20,20,15,26,14,45,0,3,,177,4,1,1996,04-01,1,13,1996-04-01,Chicago,15,6.11111111111109,-2.77777777777777,-2.22222222222223,-3.33333333333331,-7.22222222222223
1996-4-2,81,59,37,39,32,28,79,34,14,29.62,29.54,29.45,20,20,15,12,5,NA,0,3,,149,4,2,1996,04-02,2,13,1996-04-02,Chicago,27.2222222222222,15,2.77777777777777,3.88888888888891,0,-2.22222222222223
1996-4-3,45,41,37,36,31,25,86,67,53,29.94,29.8,29.67,20,13,5,41,28,46,0,7,Fog,345,4,3,1996,04-03,3,13,1996-04-03,Chicago,7.22222222222223,5,2.77777777777777,2.22222222222223,-0.555555555555543,-3.88888888888891
1996-4-4,41,33,25,22,20,18,78,59,41,30.36,30.32,30.26,20,16,15,23,17,NA,0,5,,5,4,4,1996,04-04,4,13,1996-04-04,Chicago,5,0.555555555555543,-3.88888888888891,-5.55555555555554,-6.66666666666669,-7.77777777777777
1996-4-5,50,34,23,24,20,15,81,52,35,30.47,30.43,30.34,20,19,15,13,8,NA,0,0,,323,4,5,1996,04-05,5,13,1996-04-05,Chicago,10,1.11111111111109,-5,-4.44444444444446,-6.66666666666669,-9.44444444444446
1996-4-6,59,46,32,26,20,15,48,29,20,30.13,29.93,29.83,20,18,6,14,12,NA,0,5,,147,4,6,1996,04-06,6,13,1996-04-06,Chicago,15,7.77777777777777,0,-3.33333333333331,-6.66666666666669,-9.44444444444446
1996-4-7,54,46,38,34,28,23,83,52,30,29.94,29.91,29.85,20,18,10,14,8,NA,0,5,,46,4,7,1996,04-07,7,14,1996-04-07,Chicago,12.2222222222222,7.77777777777777,3.33333333333331,1.11111111111109,-2.22222222222223,-5
1996-4-8,63,44,25,42,32,19,78,52,36,29.96,29.88,29.82,20,18,15,17,7,NA,0,5,Rain,133,4,8,1996,04-08,1,14,1996-04-08,Chicago,17.2222222222222,6.66666666666669,-3.88888888888891,5.55555555555554,0,-7.22222222222223
1996-4-9,63,50,37,43,38,34,89,63,40,30.15,30.1,30.03,20,10,3,13,7,NA,0,4,Fog,166,4,9,1996,04-09,2,14,1996-04-09,Chicago,17.2222222222222,10,2.77777777777777,6.11111111111109,3.33333333333331,1.11111111111109
