Date,WET,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-07-28T00:00:00Z,1996-7-28,82,76,71,68,66,63,88,74,58,30.01,29.97,29.92,6,6,6,30,26,37,0,3,,12,7,28,1996,07-28,7,30,27.7777777777778,24.4444444444445,21.6666666666667,20,18.8888888888889,17.2222222222222
1996-07-29T00:00:00Z,1996-7-29,80,76,71,68,67,66,88,75,61,29.98,29.95,29.92,6,6,6,29,23,NA,0,3,,18,7,29,1996,07-29,1,30,26.6666666666667,24.4444444444445,21.6666666666667,20,19.4444444444445,18.8888888888889
1996-07-30T00:00:00Z,1996-7-30,78,74,71,72,68,66,88,80,74,30.01,29.98,29.95,6,6,6,32,25,NA,0,5,,20,7,30,1996,07-30,2,30,25.5555555555555,23.3333333333333,21.6666666666667,22.2222222222222,20,18.8888888888889
1996-07-31T00:00:00Z,1996-7-31,87,79,71,68,65,55,83,67,35,30.04,30,29.95,6,6,6,28,25,NA,0,3,,22,7,31,1996,07-31,3,30,30.5555555555555,26.1111111111111,21.6666666666667,20,18.3333333333333,12.7777777777778
1996-08-01T00:00:00Z,1996-8-1,80,74,69,70,67,64,83,78,65,30.04,30.03,30.01,6,6,6,32,28,44,0,2,,21,8,1,1996,08-01,4,30,26.6666666666667,23.3333333333333,20.5555555555555,21.1111111111111,19.4444444444445,17.7777777777778
1996-08-02T00:00:00Z,1996-8-2,78,74,69,68,66,64,88,78,61,30.09,30.04,30.01,6,6,6,34,29,40,0,2,,17,8,2,1996,08-02,5,30,25.5555555555555,23.3333333333333,20.5555555555555,20,18.8888888888889,17.7777777777778
1996-08-03T00:00:00Z,1996-8-3,84,78,71,70,66,61,83,70,45,30.06,30.03,30.01,6,6,6,26,24,38,0,2,,17,8,3,1996,08-03,6,30,28.8888888888889,25.5555555555555,21.6666666666667,21.1111111111111,18.8888888888889,16.1111111111111
1996-08-04T00:00:00Z,1996-8-4,80,76,71,68,62,52,83,62,41,30.06,30.03,29.98,6,6,6,39,25,NA,0,1,,18,8,4,1996,08-04,7,31,26.6666666666667,24.4444444444445,21.6666666666667,20,16.6666666666667,11.1111111111111
1996-08-05T00:00:00Z,1996-8-5,78,74,69,68,67,64,88,79,65,30.04,29.99,29.95,6,6,6,34,28,38,0,1,,22,8,5,1996,08-05,1,31,25.5555555555555,23.3333333333333,20.5555555555555,20,19.4444444444445,17.7777777777778
1996-08-06T00:00:00Z,1996-8-6,78,74,69,70,67,59,88,79,68,30.04,30.02,29.95,6,6,6,28,20,NA,0,2,,21,8,6,1996,08-06,2,31,25.5555555555555,23.3333333333333,20.5555555555555,21.1111111111111,19.4444444444445,15
1996-08-07T00:00:00Z,1996-8-7,78,74,69,72,68,64,88,80,74,30.09,30.06,30.04,6,6,6,24,16,NA,0,2,,21,8,7,1996,08-07,3,31,25.5555555555555,23.3333333333333,20.5555555555555,22.2222222222222,20,17.7777777777778
1996-08-08T00:00:00Z,1996-8-8,78,74,71,70,67,64,88,77,69,30.09,30.03,29.98,6,6,6,32,18,NA,0,1,,18,8,8,1996,08-08,4,31,25.5555555555555,23.3333333333333,21.6666666666667,21.1111111111111,19.4444444444445,17.7777777777778
1996-08-09T00:00:00Z,1996-8-9,80,76,71,70,66,63,83,72,54,30.04,30,29.95,6,6,6,25,19,NA,0,1,,16,8,9,1996,08-09,5,31,26.6666666666667,24.4444444444445,21.6666666666667,21.1111111111111,18.8888888888889,17.2222222222222
1996-08-10T00:00:00Z,1996-8-10,80,76,71,70,67,64,88,77,65,30.04,30,29.98,6,6,6,30,22,NA,0,2,,17,8,10,1996,08-10,6,31,26.6666666666667,24.4444444444445,21.6666666666667,21.1111111111111,19.4444444444445,17.7777777777778
1996-08-11T00:00:00Z,1996-8-11,80,76,71,70,67,66,83,77,65,30.04,29.99,29.95,6,6,6,30,21,37,0,2,,18,8,11,1996,08-11,7,32,26.6666666666667,24.4444444444445,21.6666666666667,21.1111111111111,19.4444444444445,18.8888888888889
1996-08-12T00:00:00Z,1996-8-12,80,76,71,70,67,66,88,77,61,30.04,30,29.98,6,6,6,32,23,NA,0,2,,20,8,12,1996,08-12,1,32,26.6666666666667,24.4444444444445,21.6666666666667,21.1111111111111,19.4444444444445,18.8888888888889
1996-08-13T00:00:00Z,1996-8-13,80,76,71,68,66,63,88,74,57,30.04,30.01,29.98,6,6,6,31,20,36,0,2,,18,8,13,1996,08-13,2,32,26.6666666666667,24.4444444444445,21.6666666666667,20,18.8888888888889,17.2222222222222
1996-08-14T00:00:00Z,1996-8-14,80,76,73,68,67,64,83,74,61,30.04,30,29.98,6,6,6,83,32,NA,0,2,,21,8,14,1996,08-14,3,32,26.6666666666667,24.4444444444445,22.7777777777778,20,19.4444444444445,17.7777777777778
1996-08-15T00:00:00Z,1996-8-15,78,74,69,70,67,61,88,77,54,30.04,30.02,29.98,6,6,6,23,19,NA,0,2,,20,8,15,1996,08-15,4,32,25.5555555555555,23.3333333333333,20.5555555555555,21.1111111111111,19.4444444444445,16.1111111111111
1996-08-16T00:00:00Z,1996-8-16,78,74,69,70,67,64,83,79,69,30.06,30.03,30.01,6,6,6,25,16,NA,0,1,,22,8,16,1996,08-16,5,32,25.5555555555555,23.3333333333333,20.5555555555555,21.1111111111111,19.4444444444445,17.7777777777778
1996-08-17T00:00:00Z,1996-8-17,80,76,71,70,68,66,88,79,69,30.12,30.08,30.04,6,6,6,22,16,NA,0,4,,14,8,17,1996,08-17,6,32,26.6666666666667,24.4444444444445,21.6666666666667,21.1111111111111,20,18.8888888888889
1996-08-18T00:00:00Z,1996-8-18,78,74,71,70,68,66,83,80,69,30.09,30.06,30.04,6,6,6,32,21,NA,0,4,,16,8,18,1996,08-18,7,33,25.5555555555555,23.3333333333333,21.6666666666667,21.1111111111111,20,18.8888888888889
1996-08-19T00:00:00Z,1996-8-19,80,76,71,70,67,66,83,77,65,30.04,29.99,29.95,6,6,6,31,23,NA,0,3,,12,8,19,1996,08-19,1,33,26.6666666666667,24.4444444444445,21.6666666666667,21.1111111111111,19.4444444444445,18.8888888888889
1996-08-20T00:00:00Z,1996-8-20,82,76,71,72,68,66,88,78,62,30.04,29.99,29.98,6,6,6,30,23,NA,0,3,,17,8,20,1996,08-20,2,33,27.7777777777778,24.4444444444445,21.6666666666667,22.2222222222222,20,18.8888888888889
1996-08-21T00:00:00Z,1996-8-21,78,74,71,68,66,63,83,74,61,30.04,30.01,29.98,6,6,6,29,26,NA,0,3,,16,8,21,1996,08-21,3,33,25.5555555555555,23.3333333333333,21.6666666666667,20,18.8888888888889,17.2222222222222
1996-08-22T00:00:00Z,1996-8-22,78,74,71,68,67,64,83,77,65,30.09,30.04,30.01,6,6,6,32,25,NA,0,3,,20,8,22,1996,08-22,4,33,25.5555555555555,23.3333333333333,21.6666666666667,20,19.4444444444445,17.7777777777778
1996-08-23T00:00:00Z,1996-8-23,80,76,71,70,67,64,83,78,65,30.09,30.06,30.04,6,6,6,28,23,39,0,2,,20,8,23,1996,08-23,5,33,26.6666666666667,24.4444444444445,21.6666666666667,21.1111111111111,19.4444444444445,17.7777777777778
1996-08-24T00:00:00Z,1996-8-24,82,78,73,72,68,64,83,77,66,30.09,30.04,29.98,6,6,6,34,26,32,0,2,,15,8,24,1996,08-24,6,33,27.7777777777778,25.5555555555555,22.7777777777778,22.2222222222222,20,17.7777777777778
1996-08-25T00:00:00Z,1996-8-25,80,74,69,68,66,64,88,74,58,30.04,30,29.95,6,6,6,28,22,39,0,2,,14,8,25,1996,08-25,7,34,26.6666666666667,23.3333333333333,20.5555555555555,20,18.8888888888889,17.7777777777778
1996-08-26T00:00:00Z,1996-8-26,80,76,71,68,67,64,83,74,61,29.98,29.96,29.92,6,6,6,30,27,NA,0,2,,16,8,26,1996,08-26,1,34,26.6666666666667,24.4444444444445,21.6666666666667,20,19.4444444444445,17.7777777777778
1996-08-27T00:00:00Z,1996-8-27,80,76,71,70,68,66,88,79,65,30.06,30.01,29.95,6,6,6,25,21,NA,0,2,,21,8,27,1996,08-27,2,34,26.6666666666667,24.4444444444445,21.6666666666667,21.1111111111111,20,18.8888888888889
1996-08-28T00:00:00Z,1996-8-28,77,74,71,72,68,66,88,82,74,30.06,30.05,30.04,6,6,6,26,19,NA,0,5,,26,8,28,1996,08-28,3,34,25,23.3333333333333,21.6666666666667,22.2222222222222,20,18.8888888888889
1996-08-29T00:00:00Z,1996-8-29,78,74,71,72,68,66,88,82,74,30.06,30.04,30.01,6,6,6,32,22,37,0,4,,22,8,29,1996,08-29,4,34,25.5555555555555,23.3333333333333,21.6666666666667,22.2222222222222,20,18.8888888888889
1996-08-30T00:00:00Z,1996-8-30,80,76,71,68,66,64,83,75,58,30.04,30.02,29.98,6,6,6,32,24,NA,0,4,,17,8,30,1996,08-30,5,34,26.6666666666667,24.4444444444445,21.6666666666667,20,18.8888888888889,17.7777777777778
1996-08-31T00:00:00Z,1996-8-31,80,74,69,66,65,63,88,73,57,30.01,29.98,29.95,6,6,6,25,21,NA,0,3,,6,8,31,1996,08-31,6,34,26.6666666666667,23.3333333333333,20.5555555555555,18.8888888888889,18.3333333333333,17.2222222222222
1996-09-01T00:00:00Z,1996-9-1,80,74,69,68,64,61,83,72,54,29.98,29.95,29.92,6,6,6,28,16,NA,0,3,,12,9,1,1996,09-01,7,35,26.6666666666667,23.3333333333333,20.5555555555555,20,17.7777777777778,16.1111111111111
1996-09-02T00:00:00Z,1996-9-2,77,72,68,68,64,57,83,73,65,29.98,29.94,29.92,6,6,6,13,7,NA,0,3,,46,9,2,1996,09-02,1,35,25,22.2222222222222,20,20,17.7777777777778,13.8888888888889
1996-09-03T00:00:00Z,1996-9-3,77,70,64,68,64,59,88,77,65,29.95,29.92,29.89,6,6,6,8,3,NA,0,3,,107,9,3,1996,09-03,2,35,25,21.1111111111111,17.7777777777778,20,17.7777777777778,15
1996-09-04T00:00:00Z,1996-9-4,77,72,68,70,65,61,88,81,73,30.01,29.94,29.92,6,6,5,17,5,NA,0,7,Rain,21,9,4,1996,09-04,3,35,25,22.2222222222222,20,21.1111111111111,18.3333333333333,16.1111111111111
1996-09-05T00:00:00Z,1996-9-5,71,70,68,68,65,63,88,85,78,30.01,29.97,29.92,6,5,4,10,3,NA,0,8,Rain,17,9,5,1996,09-05,4,35,21.6666666666667,21.1111111111111,20,20,18.3333333333333,17.2222222222222
1996-09-06T00:00:00Z,1996-9-6,77,73,69,72,68,64,88,84,83,29.98,29.94,29.89,6,6,6,26,13,NA,0,5,,16,9,6,1996,09-06,5,35,25,22.7777777777778,20.5555555555555,22.2222222222222,20,17.7777777777778
1996-09-07T00:00:00Z,1996-9-7,78,74,71,72,68,64,83,78,61,30.06,30,29.95,6,6,6,28,20,NA,0,2,,14,9,7,1996,09-07,6,35,25.5555555555555,23.3333333333333,21.6666666666667,22.2222222222222,20,17.7777777777778
1996-09-08T00:00:00Z,1996-9-8,78,74,71,70,67,66,83,79,69,30.09,30.06,30.04,6,6,6,28,21,NA,0,1,,11,9,8,1996,09-08,7,36,25.5555555555555,23.3333333333333,21.6666666666667,21.1111111111111,19.4444444444445,18.8888888888889
1996-09-09T00:00:00Z,1996-9-9,78,74,71,70,66,63,83,74,57,30.09,30.01,29.92,6,6,6,28,20,NA,0,3,,7,9,9,1996,09-09,1,36,25.5555555555555,23.3333333333333,21.6666666666667,21.1111111111111,18.8888888888889,17.2222222222222
1996-09-10T00:00:00Z,1996-9-10,78,74,71,72,65,61,83,74,61,29.95,29.86,29.8,6,6,6,25,14,NA,0,3,,348,9,10,1996,09-10,2,36,25.5555555555555,23.3333333333333,21.6666666666667,22.2222222222222,18.3333333333333,16.1111111111111
1996-09-11T00:00:00Z,1996-9-11,78,74,69,66,62,57,83,68,54,29.95,29.88,29.83,6,6,6,25,10,NA,0,3,,19,9,11,1996,09-11,3,36,25.5555555555555,23.3333333333333,20.5555555555555,18.8888888888889,16.6666666666667,13.8888888888889
1996-09-12T00:00:00Z,1996-9-12,77,72,66,68,65,61,88,78,69,29.98,29.96,29.92,6,6,6,14,7,NA,0,3,,14,9,12,1996,09-12,4,36,25,22.2222222222222,18.8888888888889,20,18.3333333333333,16.1111111111111
1996-09-13T00:00:00Z,1996-9-13,77,72,66,68,64,61,88,78,65,30.01,29.98,29.95,6,6,6,13,8,NA,0,2,,18,9,13,1996,09-13,5,36,25,22.2222222222222,18.8888888888889,20,17.7777777777778,16.1111111111111
1996-09-14T00:00:00Z,1996-9-14,77,73,69,68,67,63,88,80,73,30.04,29.99,29.95,6,6,6,16,12,NA,0,2,,19,9,14,1996,09-14,6,36,25,22.7777777777778,20.5555555555555,20,19.4444444444445,17.2222222222222
1996-09-15T00:00:00Z,1996-9-15,78,74,71,73,69,66,89,84,78,30.01,29.99,29.95,6,6,6,21,15,NA,0,3,,27,9,15,1996,09-15,7,37,25.5555555555555,23.3333333333333,21.6666666666667,22.7777777777778,20.5555555555555,18.8888888888889
1996-09-16T00:00:00Z,1996-9-16,80,76,71,75,68,55,88,76,50,30.09,30.04,29.98,6,6,5,25,15,NA,0,1,,21,9,16,1996,09-16,1,37,26.6666666666667,24.4444444444445,21.6666666666667,23.8888888888889,20,12.7777777777778
1996-09-17T00:00:00Z,1996-9-17,80,76,71,72,70,68,89,82,65,30.18,30.12,30.09,6,6,6,26,20,NA,0,1,,26,9,17,1996,09-17,2,37,26.6666666666667,24.4444444444445,21.6666666666667,22.2222222222222,21.1111111111111,20
1996-09-18T00:00:00Z,1996-9-18,80,76,71,70,67,66,88,77,61,30.24,30.09,30.04,6,6,6,34,23,NA,0,1,,19,9,18,1996,09-18,3,37,26.6666666666667,24.4444444444445,21.6666666666667,21.1111111111111,19.4444444444445,18.8888888888889
1996-09-19T00:00:00Z,1996-9-19,80,76,73,70,68,64,83,76,65,30.06,30.02,29.98,6,6,6,26,22,NA,0,2,,10,9,19,1996,09-19,4,37,26.6666666666667,24.4444444444445,22.7777777777778,21.1111111111111,20,17.7777777777778
1996-09-20T00:00:00Z,1996-9-20,80,76,73,72,69,68,83,77,65,30.01,29.99,29.95,6,6,6,23,17,NA,0,1,,17,9,20,1996,09-20,5,37,26.6666666666667,24.4444444444445,22.7777777777778,22.2222222222222,20.5555555555555,20
1996-09-21T00:00:00Z,1996-9-21,80,76,73,73,70,68,89,81,70,30.04,29.99,29.95,6,6,6,25,15,NA,0,3,,28,9,21,1996,09-21,6,37,26.6666666666667,24.4444444444445,22.7777777777778,22.7777777777778,21.1111111111111,20
1996-09-22T00:00:00Z,1996-9-22,77,74,71,70,68,64,88,80,65,30.06,30.03,30.01,6,6,6,23,13,NA,0,3,,18,9,22,1996,09-22,7,38,25,23.3333333333333,21.6666666666667,21.1111111111111,20,17.7777777777778
1996-09-23T00:00:00Z,1996-9-23,80,74,69,70,67,64,88,78,65,30.06,30.04,30.01,6,6,6,28,18,32,0,5,Rain,10,9,23,1996,09-23,1,38,26.6666666666667,23.3333333333333,20.5555555555555,21.1111111111111,19.4444444444445,17.7777777777778
1996-09-24T00:00:00Z,1996-9-24,78,74,69,73,69,66,88,82,69,30.09,30.05,30.01,6,6,4,25,19,NA,0,5,Rain,8,9,24,1996,09-24,2,38,25.5555555555555,23.3333333333333,20.5555555555555,22.7777777777778,20.5555555555555,18.8888888888889
1996-09-25T00:00:00Z,1996-9-25,80,76,71,72,68,64,89,79,65,30.09,30.05,30.04,6,6,6,29,21,36,0,5,,10,9,25,1996,09-25,3,38,26.6666666666667,24.4444444444445,21.6666666666667,22.2222222222222,20,17.7777777777778
1996-09-26T00:00:00Z,1996-9-26,80,76,73,70,68,64,83,76,61,30.06,30.03,29.98,6,6,6,30,22,NA,0,3,,12,9,26,1996,09-26,4,38,26.6666666666667,24.4444444444445,22.7777777777778,21.1111111111111,20,17.7777777777778
1996-09-27T00:00:00Z,1996-9-27,78,74,71,72,68,66,88,80,65,30.04,30.01,29.98,6,6,6,24,19,NA,0,2,,19,9,27,1996,09-27,5,38,25.5555555555555,23.3333333333333,21.6666666666667,22.2222222222222,20,18.8888888888889
1996-09-28T00:00:00Z,1996-9-28,77,73,69,73,68,64,89,85,83,30.09,30.05,30.01,6,6,6,26,11,NA,0,3,,21,9,28,1996,09-28,6,38,25,22.7777777777778,20.5555555555555,22.7777777777778,20,17.7777777777778
1996-09-29T00:00:00Z,1996-9-29,78,76,73,73,71,68,89,84,74,30.15,30.1,30.04,6,6,6,21,12,NA,0,6,,26,9,29,1996,09-29,7,39,25.5555555555555,24.4444444444445,22.7777777777778,22.7777777777778,21.6666666666667,20
1996-09-30T00:00:00Z,1996-9-30,80,76,73,70,67,54,88,75,39,30.12,30.06,30.01,6,6,6,28,17,NA,0,6,,25,9,30,1996,09-30,1,39,26.6666666666667,24.4444444444445,22.7777777777778,21.1111111111111,19.4444444444445,12.2222222222222
1996-10-01T00:00:00Z,1996-10-1,82,78,73,72,68,57,83,75,47,30.04,30,29.98,6,6,6,26,19,NA,0,1,,17,10,1,1996,10-01,2,39,27.7777777777778,25.5555555555555,22.7777777777778,22.2222222222222,20,13.8888888888889
1996-10-02T00:00:00Z,1996-10-2,77,74,71,70,68,66,88,82,74,30.09,30.04,30.01,6,6,6,25,21,NA,0,5,,19,10,2,1996,10-02,3,39,25,23.3333333333333,21.6666666666667,21.1111111111111,20,18.8888888888889
1996-10-03T00:00:00Z,1996-10-3,77,73,69,70,67,64,88,81,69,30.09,30.06,30.04,6,6,6,29,19,NA,0,3,,19,10,3,1996,10-03,4,39,25,22.7777777777778,20.5555555555555,21.1111111111111,19.4444444444445,17.7777777777778
1996-10-04T00:00:00Z,1996-10-4,77,73,69,68,67,66,88,81,74,30.12,30.08,30.06,6,6,6,30,20,NA,0,2,,18,10,4,1996,10-04,5,39,25,22.7777777777778,20.5555555555555,20,19.4444444444445,18.8888888888889
1996-10-05T00:00:00Z,1996-10-5,77,74,71,70,67,64,88,78,69,30.09,30.05,30.04,6,6,6,29,22,33,0,3,,20,10,5,1996,10-05,6,39,25,23.3333333333333,21.6666666666667,21.1111111111111,19.4444444444445,17.7777777777778
1996-10-06T00:00:00Z,1996-10-6,77,73,69,68,66,64,88,80,69,30.01,29.98,29.95,6,6,6,23,17,NA,0,4,,19,10,6,1996,10-06,7,40,25,22.7777777777778,20.5555555555555,20,18.8888888888889,17.7777777777778
1996-10-07T00:00:00Z,1996-10-7,75,72,68,68,64,61,88,76,65,30.06,30.02,29.98,6,6,6,21,13,NA,0,4,,13,10,7,1996,10-07,1,40,23.8888888888889,22.2222222222222,20,20,17.7777777777778,16.1111111111111
1996-10-08T00:00:00Z,1996-10-8,75,72,68,64,62,59,83,72,57,30.09,30.07,30.04,6,6,6,17,14,NA,0,5,,24,10,8,1996,10-08,2,40,23.8888888888889,22.2222222222222,20,17.7777777777778,16.6666666666667,15
1996-10-09T00:00:00Z,1996-10-9,75,72,68,64,62,59,83,73,64,30.09,30.06,30.04,6,6,6,22,12,NA,0,5,,13,10,9,1996,10-09,3,40,23.8888888888889,22.2222222222222,20,17.7777777777778,16.6666666666667,15
1996-10-10T00:00:00Z,1996-10-10,82,75,68,66,62,59,83,72,54,30.09,30.06,30.04,6,6,6,21,9,NA,0,4,,19,10,10,1996,10-10,4,40,27.7777777777778,23.8888888888889,20,18.8888888888889,16.6666666666667,15
1996-10-11T00:00:00Z,1996-10-11,77,72,68,64,63,61,83,73,61,30.06,30.04,30.01,6,6,6,24,13,NA,0,2,,12,10,11,1996,10-11,5,40,25,22.2222222222222,20,17.7777777777778,17.2222222222222,16.1111111111111
